B19013_001E,B19013_001M,GEO_ID,NAME
Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),id,Geographic Area Name
32600,9930,1400000US36005022101,"Census Tract 221.01, Bronx County, New York"
32792,5698,1400000US36005022102,"Census Tract 221.02, Bronx County, New York"
51064,5951,1400000US36005022200,"Census Tract 222, Bronx County, New York"
26761,3568,1400000US36005022300,"Census Tract 223, Bronx County, New York"
55909,16699,1400000US36005022401,"Census Tract 224.01, Bronx County, New York"
51767,7759,1400000US36005022403,"Census Tract 224.03, Bronx County, New York"
53346,6188,1400000US36005022404,"Census Tract 224.04, Bronx County, New York"
38489,6865,1400000US36005022500,"Census Tract 225, Bronx County, New York"
34159,7747,1400000US36005022701,"Census Tract 227.01, Bronx County, New York"
26554,10456,1400000US36005022702,"Census Tract 227.02, Bronx County, New York"
60938,25948,1400000US36005022703,"Census Tract 227.03, Bronx County, New York"
58431,8014,1400000US36005022800,"Census Tract 228, Bronx County, New York"
35461,11701,1400000US36005022901,"Census Tract 229.01, Bronx County, New York"
34167,14600,1400000US36005022902,"Census Tract 229.02, Bronx County, New York"
38958,14049,1400000US36005023000,"Census Tract 230, Bronx County, New York"
29263,6981,1400000US36005023100,"Census Tract 231, Bronx County, New York"
56528,9131,1400000US36005023200,"Census Tract 232, Bronx County, New York"
30861,7745,1400000US36005023301,"Census Tract 233.01, Bronx County, New York"
42500,11452,1400000US36005023302,"Census Tract 233.02, Bronx County, New York"
34591,14318,1400000US36005023501,"Census Tract 235.01, Bronx County, New York"
29342,11136,1400000US36005023502,"Census Tract 235.02, Bronx County, New York"
38021,20769,1400000US36005023600,"Census Tract 236, Bronx County, New York"
37734,14978,1400000US36005023702,"Census Tract 237.02, Bronx County, New York"
30109,12169,1400000US36005023703,"Census Tract 237.03, Bronx County, New York"
20679,5247,1400000US36005023704,"Census Tract 237.04, Bronx County, New York"
52599,6874,1400000US36005023800,"Census Tract 238, Bronx County, New York"
27615,16189,1400000US36005023900,"Census Tract 239, Bronx County, New York"
39688,24334,1400000US36005024000,"Census Tract 240, Bronx County, New York"
41322,3730,1400000US36005024100,"Census Tract 241, Bronx County, New York"
25088,4089,1400000US36005024300,"Census Tract 243, Bronx County, New York"
60709,8545,1400000US36005024400,"Census Tract 244, Bronx County, New York"
24146,7255,1400000US36005024501,"Census Tract 245.01, Bronx County, New York"
29835,12816,1400000US36005024502,"Census Tract 245.02, Bronx County, New York"
65473,9169,1400000US36005024600,"Census Tract 246, Bronx County, New York"
49107,11925,1400000US36005024700,"Census Tract 247, Bronx County, New York"
69786,13016,1400000US36005024800,"Census Tract 248, Bronx County, New York"
-,**,1400000US36005024900,"Census Tract 249, Bronx County, New York"
85868,9204,1400000US36005025000,"Census Tract 250, Bronx County, New York"
36830,7544,1400000US36005025100,"Census Tract 251, Bronx County, New York"
77500,26442,1400000US36005025200,"Census Tract 252, Bronx County, New York"
36481,9334,1400000US36005025300,"Census Tract 253, Bronx County, New York"
52853,6215,1400000US36005025400,"Census Tract 254, Bronx County, New York"
35466,20750,1400000US36005025500,"Census Tract 255, Bronx County, New York"
52700,11372,1400000US36005025600,"Census Tract 256, Bronx County, New York"
52926,9590,1400000US36005025700,"Census Tract 257, Bronx County, New York"
76272,4171,1400000US36005026100,"Census Tract 261, Bronx County, New York"
19629,9682,1400000US36005026300,"Census Tract 263, Bronx County, New York"
48832,6756,1400000US36005026400,"Census Tract 264, Bronx County, New York"
41187,5429,1400000US36005026500,"Census Tract 265, Bronx County, New York"
60357,11487,1400000US36005026601,"Census Tract 266.01, Bronx County, New York"
64143,19097,1400000US36005026602,"Census Tract 266.02, Bronx County, New York"
47656,15552,1400000US36005026701,"Census Tract 267.01, Bronx County, New York"
35557,8878,1400000US36005026702,"Census Tract 267.02, Bronx County, New York"
39167,5460,1400000US36005026900,"Census Tract 269, Bronx County, New York"
44154,6488,1400000US36005027300,"Census Tract 273, Bronx County, New York"
87500,12998,1400000US36005027401,"Census Tract 274.01, Bronx County, New York"
88654,15650,1400000US36005027402,"Census Tract 274.02, Bronx County, New York"
-,**,1400000US36005027600,"Census Tract 276, Bronx County, New York"
29621,7693,1400000US36005027700,"Census Tract 277, Bronx County, New York"
56033,7917,1400000US36005027900,"Census Tract 279, Bronx County, New York"
67933,11057,1400000US36005028100,"Census Tract 281, Bronx County, New York"
26887,12351,1400000US36005028300,"Census Tract 283, Bronx County, New York"
-,**,1400000US36005028400,"Census Tract 284, Bronx County, New York"
58467,5398,1400000US36005028500,"Census Tract 285, Bronx County, New York"
85625,16715,1400000US36005028600,"Census Tract 286, Bronx County, New York"
56518,16165,1400000US36005028700,"Census Tract 287, Bronx County, New York"
74459,15192,1400000US36005028800,"Census Tract 288, Bronx County, New York"
52754,6359,1400000US36005028900,"Census Tract 289, Bronx County, New York"
103125,22107,1400000US36005029301,"Census Tract 293.01, Bronx County, New York"
95239,12114,1400000US36005029302,"Census Tract 293.02, Bronx County, New York"
95833,14136,1400000US36005029500,"Census Tract 295, Bronx County, New York"
54250,10787,1400000US36005029600,"Census Tract 296, Bronx County, New York"
91210,7657,1400000US36005029700,"Census Tract 297, Bronx County, New York"
59899,11442,1400000US36005030000,"Census Tract 300, Bronx County, New York"
84375,26103,1400000US36005030100,"Census Tract 301, Bronx County, New York"
54087,7851,1400000US36005030200,"Census Tract 302, Bronx County, New York"
121389,9650,1400000US36005030701,"Census Tract 307.01, Bronx County, New York"
107768,27646,1400000US36005030900,"Census Tract 309, Bronx County, New York"
87336,15158,1400000US36005031000,"Census Tract 310, Bronx County, New York"
98250,18549,1400000US36005031200,"Census Tract 312, Bronx County, New York"
92396,9880,1400000US36005031400,"Census Tract 314, Bronx County, New York"
86048,28435,1400000US36005031600,"Census Tract 316, Bronx County, New York"
86429,64449,1400000US36005031800,"Census Tract 318, Bronx County, New York"
-,**,1400000US36005031900,"Census Tract 319, Bronx County, New York"
85448,12169,1400000US36005032300,"Census Tract 323, Bronx County, New York"
19349,13465,1400000US36005032400,"Census Tract 324, Bronx County, New York"
90656,18003,1400000US36005032600,"Census Tract 326, Bronx County, New York"
29219,6879,1400000US36005032800,"Census Tract 328, Bronx County, New York"
39836,3122,1400000US36005033000,"Census Tract 330, Bronx County, New York"
47529,8668,1400000US36005033201,"Census Tract 332.01, Bronx County, New York"
41969,11523,1400000US36005033202,"Census Tract 332.02, Bronx County, New York"
-,**,1400000US36005033400,"Census Tract 334, Bronx County, New York"
96250,26969,1400000US36005033500,"Census Tract 335, Bronx County, New York"
38387,6177,1400000US36005033600,"Census Tract 336, Bronx County, New York"
97847,19027,1400000US36005033700,"Census Tract 337, Bronx County, New York"
51204,10360,1400000US36005033800,"Census Tract 338, Bronx County, New York"
52772,8620,1400000US36005034000,"Census Tract 340, Bronx County, New York"
60893,17715,1400000US36005034200,"Census Tract 342, Bronx County, New York"
78869,3255,1400000US36005034300,"Census Tract 343, Bronx County, New York"
