boro_ctcode,asthma_rate,med_income_10thou,wghtd_avg_mmpy,prox_score
5020803,9,11.975,6.3,3.4999999999999996
1018100,8.5,9.6429,46.253699999999995,4.811
3005100,8.1,14.7188,24.8,4.702
4062700,9.5,7.6859,19.6,4.077
1003602,8.9,8.8594,49.5,4.891
4053200,11.6,8.4946,16,4.386
4011800,9.3,7.0333,19.5,3.376
3026100,11.2,5.1885,21.7,1.3
1019000,10.2,5.8333,29.460399999999996,4.2170000000000005
1006400,8.2,11.1074,67.5,4.836
3012801,9,3.858,26.2,3.631
3040400,8.8,6.1087,17.8,2.455
2023100,11.9,2.9263,33.8552,4.574
2021602,11,5.5354,22.9,4.318
2034200,11.4,6.0893,14.430399999999999,4
4058100,8.9,7.5665,19.6,3.643
4055100,8.9,7.528,19.6,3.785
3076600,11.6,7.0156,19.5,0.009
2031400,9.1,9.2396,13,3.5390000000000006
5027301,8.9,6.8542,11.0984,2.138
5002900,11.9,2.4779,10.7,4.478999999999999
3043500,9.6,6.6923,16.2,0.565
3015500,8.5,16.3967,24.8,0
1005900,8.1,12.7917,38.2,4.449000000000001
3001300,8.5,10.9208,42.5,4.754
4092200,8.2,13.1146,6.7932,1.8450000000000002
1031704,7.2,19.4153,34.4655,3.908
3069000,10.4,8.4856,14.9,2.232
5017007,9.1,7.9934,6.3,3.089
4041100,8.5,6.8629,36.2,3.1530000000000005
4018401,11.9,6.6806,16,3.212
4040700,8.8,5.3211,34.587500000000006,3.033
1025700,9.7,7.9722,29.4,2.4699999999999998
3034200,12,1.7932,19.4,0
2026500,10,4.1187,25,3.851
4016300,11,2.2317,16.7,3.1239999999999997
3032900,12,4.4922,21.7,4.604
2041400,12.4,4.9545,17.7822,2.708
4066400,11.4,9.2912,28.4445,1.4429999999999998
4012601,9,7.3634,19.5,2.652
4059500,8.8,7.2292,19.6,3.2960000000000003
2012300,11.2,3.1519,15.165700000000001,4.5760000000000005
3116000,12.4,3.76,20,0.001
3111000,13.8,2.106,20,3.2380000000000004
2005902,10.9,3.0844,32.3,2.495
4035700,9.6,6.4167,33.7,1.701
3039900,10.6,5.1776,16.2,1.8780000000000001
4007500,7.7,7.5982,16.7,3.668
3031500,11.3,6.3313,25.1,4.557
1019400,11.5,2.0373,59.6,4.756
3003800,8.8,8.1576,26.2,0
4086300,7.6,4.2743,19.5,0.868
3016700,8.1,17.3113,24.7576,0
3053700,11.9,4.0644,23.871699999999997,4.8309999999999995
4005100,8.3,5.0868,16.7,0.75
3029200,9.2,4.9145,17.7822,4.085999999999999
2004300,11.5,2.1689,27.9,3.906
1029300,9.2,4.2525,45.9,4.684
2025600,10.4,5.27,13.0405,4.201
1004200,8.8,14.8839,49.5,4.7059999999999995
3020600,9.3,10.1449,26.2,2.3850000000000002
3034900,13.2,4.1061,23.1552,4.079
3081600,12.3,4.2938,21.8,3.9419999999999993
3043000,9.4,3.816,17.8,1.4480000000000002
3098600,12,7.3654,14.9,2.5520000000000005
4066100,9.1,8.8636,19.6,0.455
4003100,8,8.1635,16.7,3.271
2039200,12.1,5.0723,17.8,3.8869999999999996
2009300,11.1,3.2852,16.5834,4.017
2042800,12,8.2599,17.8,3.8569999999999998
4045000,7.6,8.4435,34.3,0
3049000,9.4,5.9384,25.8,1.8319999999999999
4114100,7.7,9.9583,19.5,1.934
3058900,8.8,8.55,23.9,4.340999999999999
4098100,8.7,8.9286,19.5,2.404
3056600,8.9,8.3849,22.2,2.3160000000000003
4048900,7.6,6.4708,40.4641,2.6140000000000003
3029800,8.6,5.506,17.8,2.231
1007600,7.6,10.0809,28.3,4.7780000000000005
1024700,9,6.2031,45.9,1.637
4024300,8,6.9583,41.0785,3.077
4063800,10.8,10.1957,30.1,2.362
3088400,13,4.8664,21.8,1.9049999999999998
4061601,11.1,8.5987,30.1,0
2014300,12.6,1.7204,17.2755,4.817
1002400,10.7,1.4144,48.91459999999999,0.054000000000000006
2025100,10.8,3.683,34.6,4.368
3086400,12.2,4.9265,21.8,4.764
3022800,9.8,3.5985,25.8,3.9920000000000004
3010600,8.3,4.9702,28.8876,0
3062800,9.5,8.4091,22.1112,0
4085300,7.1,3.4525,19.5,4.312
2026900,10.2,3.9167,25,4.678999999999999
3097000,11.4,8.5221,14.9,2.6839999999999997
3061200,9.1,9.2143,22.2,0
4157903,8.2,8.2978,30.0699,2.375
4028000,11.7,6.4911,16,2.8180000000000005
2029500,9,9.5833,15.4,0.013
3101200,11.4,6.4569,14.9,0
3056100,8.6,10.875,23.876099999999997,3.365
2044901,9.7,6.92,17.8,3.5380000000000003
3057800,9.3,4.7466,22.2,3.96
3028200,8.7,6.7212,17.7822,3.2949999999999995
4047000,9.8,6.5,16,3.766
3119600,10.5,3.9838,20,2.521
5013301,13.8,0.9899,10.7,4.386
1009100,8.1,15.0349,48.67960000000001,4.79
3024300,10.9,5.9779,21.7,4.593999999999999
4046500,7.9,5.9318,36.2,3.932
1009600,6.9,13.05,28.3,2.146
3060600,9,6.2,22.2,1.7320000000000002
1017402,10.7,4.7411,59.6,1.7319999999999998
5011401,10.8,4.4357,11.1,3.82
1021303,10.3,4.3983,43.685700000000004,3.8609999999999998
5019800,9.5,12.413,6.293699999999999,2.6799999999999997
4063500,9.2,7.5288,19.6,3.212
1019200,12,2.0117,59.5404,3.68
2039800,12.7,8.0024,17.8,0
3042500,8.1,7.7477,16.2,2.9090000000000007
2036100,12,2.1947,32.5,2.813
4118700,8,4.5867000000000004,19.5,0.151
2007300,11.9,2.2344,27.9,4.446
4050600,11.8,8.537,16,0.007
3013000,9.5,7.7166,26.2,1.242
3026700,11.2,6.4401,21.7,0.33599999999999997
2033600,11.5,3.8387,14.4592,3.761
4077902,8.6,8.4375,34.3,3.2479999999999993
3091800,12.1,1.9634,24.9,0.029
2020502,11.6,1.8919,34.6,3.774
1003200,8.1,6.6648,49.5,2.6620000000000004
4021200,10,4.3889,16,3.039
1016002,7.8,12.337,59.576,4.847
4027100,7.8,5.4665,36.2,3.266
4101002,9.7,3.1066,6.7863999999999995,0
1023700,10.2,4.5167,43.7,3.7590000000000003
3037500,12.1,5.1495,21.7,3.743
1023400,11.2,4.9012,29.4,4.0489999999999995
5024402,9.2,8.8906,6.293699999999999,1.8
4009600,9.7,9.1125,31.4,2.333
1009700,8.4,6.1534,48.67960000000001,4.692
4054700,8.4,7.6493,19.596600000000002,3.3899999999999997
4026300,7.2,5.2015,41.1,4.4110000000000005
3043700,10.4,5.9474,16.2,0.6339999999999999
3058600,8.2,7.1758,22.2,0.549
1013200,8.2,10.8275,54.7452,2.475
1013400,8.3,10.7295,54.8,4.7780000000000005
4076901,7.7,8.8971,42.9,3.7640000000000002
3020700,9.1,11.9462,25.074900000000003,2.033
2025700,10.1,5.2926,28.840000000000003,4.834
1011600,7.9,9.2426,54.6904,2.689
4042400,11,9.0125,16,2.509
4059600,10.9,7.2578,30.1,0.217
4040900,9.4,5.6101,34.86500000000001,3.644
3019300,10.9,5.5389,40.0664,4.399
1028300,8.5,5.6855,45.9,4.159
1024900,9.4,4.3182,45.9,4.5440000000000005
5000300,8.7,8.6477,10.6679,3.9139999999999997
3020200,9,8.9,26.2,0
2030701,8.7,12.1389,15.4,0
2006500,11.1,2.5467,27.9,4.173
4059300,8.9,7.0962,19.6,2.856
3107800,11.7,6.3411,20,1.0919999999999999
3079801,10.7,7.6838,21.7,3.517
4038100,9.3,6.1635,33.7,3.995
1014801,7.9,16.2857,54.8,4.8740000000000006
3056800,8.9,8.625,22.2,3.088
3039500,9.8,5.6598,16.211,3.3500000000000005
4013200,8.8,6.8359,19.5,3.8649999999999998
3004700,8.4,11.95,24.8,4.598999999999999
1019702,9.9,6.0647,29.433799999999998,3.5629999999999997
3042000,9.6,5.8571,23.197200000000002,3.728
2002701,12.4,1.8832,27.9,4.651
2040501,10.7,3.7935,25,0.872
