year,uniqueid,data_value,low_confidence_limit,high_confidence_limit,populationcount,geolocation,tractfips,boro_code,boro,tract_code
2017,3651000-36047058200,9.5,9,9.9,2967,"
,  
(40.5985398878, -73.9592618468)",36047058200,047,Brooklyn,058200
2017,3651000-36005037504,11.8,11,12.7,3677,"
,  
(40.850293693, -73.8926779558)",36005037504,005,Bronx,037504
2017,3651000-36081054200,9.6,9.3,10,5074,"
,  
(40.7190754216, -73.7464908942)",36081054200,081,Queens,054200
2017,3651000-36081008600,9,8.5,9.5,2811,"
,  
(40.6770706081, -73.8410810225)",36081008600,081,Queens,008600
2017,3651000-36047078000,11.6,10.9,12.5,2092,"
,  
(40.6344979282, -73.939148582)",36047078000,047,Brooklyn,078000
2017,3651000-36081012800,8.5,8.3,8.9,2030,"
,  
(40.6982644062, -73.8401252172)",36081012800,081,Queens,012800
2017,3651000-36047019500,9.3,8.9,9.8,3366,"
,  
(40.6914101408, -73.9674998346)",36047019500,047,Brooklyn,019500
2017,3651000-36047116400,11.9,11.1,12.7,2921,"
,  
(40.6705098782, -73.8811821814)",36047116400,047,Brooklyn,116400
2017,3651000-36081071305,7.7,7.4,8.2,4871,"
,  
(40.7241594631, -73.8514860833)",36081071305,081,Queens,071305
2017,3651000-36047003900,8.9,8.5,9.5,2229,"
,  
(40.6849013137, -73.980824017)",36047003900,047,Brooklyn,003900
2017,3651000-36047033900,12.1,11.3,13,4376,"
,  
(40.6712118136, -73.9420150775)",36047033900,047,Brooklyn,033900
2017,3651000-36081018700,7.7,7.4,8,3088,"
,  
(40.7366270558, -73.9247010467)",36081018700,081,Queens,018700
2017,3651000-36047019700,9.3,9,9.6,3313,"
,  
(40.688002245, -73.9667467751)",36047019700,047,Brooklyn,019700
2017,3651000-36061014900,7.8,7.5,8.2,5842,"
,  
(40.7723543303, -73.9824834093)",36061014900,061,Manhattan,014900
2017,3651000-36005031000,9.6,9.1,10.2,4415,"
,  
(40.8612344349, -73.8360747301)",36005031000,005,Bronx,031000
2017,3651000-36005023900,11.3,10.7,11.9,8348,"
,  
(40.8588899152, -73.902876996)",36005023900,005,Bronx,023900
2017,3651000-36081029700,8,7.6,8.4,2162,"
,  
(40.7586594965, -73.9029725901)",36081029700,081,Queens,029700
2017,3651000-36081018200,11.9,11.2,12.8,2267,"
,  
(40.6761608457, -73.7991104842)",36081018200,081,Queens,018200
