boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,shapearea2,prop_area_15hundredths
"2","2014701",Bronx,E,"014701","147.01",BX01,Claremont-Bathgate,"3705",1490475.1800800000783056020736694335938,5118.3429782299999715178273618221283,138471.631,1.000
"2","2007100",Bronx,I,"007100","71",BX34,Melrose South-Mott Haven North,"3710",2841870.6785599999129772186279296875000,8603.5425889699999970616772770881653,264022.093,0.998
"3","3050400",Brooklyn,I,"050400","504",BK40,Windsor Terrace,"4012",2516825.7360100001096725463867187500000,7398.0041623500001151114702224731445,233826.415,0.933
"3","3039300",Brooklyn,E,"039300","393",BK78,Bushwick South,"4002",2041139.7586299998220056295394897460938,6706.9031513299996731802821159362793,189629.410,0.977
"3","3039500",Brooklyn,E,"039500","395",BK78,Bushwick South,"4002",1718425.8278799999970942735671997070312,5825.7710966200002076220698654651642,159648.055,0.702
"3","3115800",Brooklyn,E,"115800","1158",BK85,East New York (Pennsylvania Ave),"4007",1668175.8210400000680238008499145507812,5290.7335033299996212008409202098846,154979.263,0.493
"3","3123700",Brooklyn,E,"123700","1237",BK75,Bedford,"4003",3459462.4163799998350441455841064453125,7492.8443874699996740673668682575226,321396.847,1.000
"4","4003600",Queens,I,"003600","36",QN53,Woodhaven,"4111",1937305.8449399999808520078659057617188,9384.5832628000007389346137642860413,179982.648,0.891
"4","4004200",Queens,E,"004200","42",QN53,Woodhaven,"4111",2156063.8634299999102950096130371093750,7928.4207085600000937120057642459869,200306.012,0.510
"3","3074200",Brooklyn,I,"074200","742",BK58,Flatlands,"4009",1876115.5531899998895823955535888671875,5663.8398574900002131471410393714905,174296.684,0.540
"3","3022900",Brooklyn,E,"022900","229",BK69,Clinton Hill,"4004",1849568.3965500001795589923858642578125,5440.7643368299995927372947335243225,171831.549,0.578
"3","3023100",Brooklyn,I,"023100","231",BK69,Clinton Hill,"4004",1716029.8079200000502169132232666015625,5908.8732511400003204471431672573090,159425.344,0.370
"2","2028900",Bronx,E,"028900","289",BX29,Spuyten Duyvil-Kingsbridge,"3701",2054663.5179099999368190765380859375000,5940.5713944899998750770464539527893,190887.740,0.549
"4","4152902",Queens,I,"152902","1529.02",QN45,Douglas Manor-Douglaston-Little Neck,"4104",11120329.8850999996066093444824218750000,14314.6611572000001615379005670547485,1033124.541,0.270
"5","5011401",Staten Island,E,"011401","114.01",SI36,Old Town-Dongan Hills-South Beach,"3902",5672548.9502999996766448020935058593750,9647.6151150099994993070140480995178,526993.366,0.822
"5","5005000",Staten Island,I,"005000","50",SI14,Grasmere-Arrochar-Ft. Wadsworth,"3902",9302545.8959400001913309097290039062500,14356.2306590000007417984306812286377,864225.932,0.767
"1","1004500",Manhattan,I,"004500","45",MN24,SoHo-TriBeCa-Civic Center-Little Italy,"3810",1129524.4086199998855590820312500000000,4604.7425261199996384675614535808563,104937.207,1.000
"2","2022000",Bronx,E,"022000","220",BX17,East Tremont,"3705",2253359.4544099997729063034057617187500,11162.4304979000007733702659606933594,209346.913,0.997
"1","1002700",Manhattan,I,"002700","27",MN27,Chinatown,"3809",639299.2331619999604299664497375488281,3685.3156028499997773906216025352478,59395.251,1.000
"1","1002900",Manhattan,I,"002900","29",MN27,Chinatown,"3809",3010944.0309100002050399780273437500000,8978.4423479599990969290956854820251,279729.804,0.921
"2","2002400",Bronx,I,"002400","24",BX99,park-cemetery-etc-Bronx,"3709",7665690.3049100004136562347412109375000,18026.2787228000015602447092533111572,712175.800,0.074
"3","3002901",Brooklyn,E,"002901","29.01",BK68,Fort Greene,"4004",1167631.2730499999597668647766113281250,4334.0558047399999850313179194927216,108477.244,1.000
"3","3018501",Brooklyn,E,"018501","185.01",BK68,Fort Greene,"4004",1189362.2801900000777095556259155273438,4405.2889970300002460135146975517273,110496.132,1.000
"1","1021303",Manhattan,E,"021303","213.03",MN06,Manhattanville,"3802",1643103.3190999999642372131347656250000,7255.9031104100004085921682417392731,152651.402,0.880
"4","4034700",Queens,E,"034700","347",QN28,Jackson Heights,"4102",3984026.0017200000584125518798828125000,13359.3278706000000966014340519905090,370151.369,0.773
"5","5024401",Staten Island,I,"024401","244.01",SI11,Charleston-Richmond Valley-Tottenville,"3901",22560750.4398000016808509826660156250000,24555.3157419000017398502677679061890,2095912.162,0.773
"4","4037100",Queens,E,"037100","371",QN27,East Elmhurst,"4102",1941447.4986699998844414949417114257812,6834.4718862800000351853668689727783,180368.532,0.267
"4","4037300",Queens,E,"037300","373",QN27,East Elmhurst,"4102",2570655.4738699998706579208374023437500,7528.0693096300001343479380011558533,238833.889,1.000
"4","4093900",Queens,I,"093900","939",QN23,College Point,"4103",7059359.6930499998852610588073730468750,18302.8291018000018084421753883361816,655844.627,0.002
"1","1028100",Manhattan,I,"028100","281",MN35,Washington Heights North,"3801",978724.2196700000204145908355712890625,4907.3734838999998828512616455554962,90926.503,0.921
"1","1006600",Manhattan,I,"006600","66",MN20,Murray Hill-Kips Bay,"3808",1880520.8846100000664591789245605468750,5498.1464626899996801512315869331360,174707.946,1.000
"1","1014401",Manhattan,I,"014401","144.01",MN32,Yorkville,"3805",800419.3463029999984428286552429199219,4015.0146301200002199038863182067871,74362.320,0.543
"1","1006800",Manhattan,I,"006800","68",MN21,Gramercy,"3808",1877721.1518600000999867916107177734375,5723.8909412599996358039788901805878,174447.844,1.000
"1","1017700",Manhattan,I,"017700","177",MN12,Upper West Side,"3806",1878929.7193599999882280826568603515625,5688.5014973899988035554997622966766,174560.572,0.955
"1","1018700",Manhattan,I,"018700","187",MN12,Upper West Side,"3806",2323892.2354700001887977123260498046875,6534.4112902500000927830114960670471,215899.542,0.573
"1","1019100",Manhattan,I,"019100","191",MN12,Upper West Side,"3806",2385202.9549300000071525573730468750000,6614.1788487800004077143967151641846,221595.587,0.618
"1","1022200",Manhattan,I,"022200","222",MN11,Central Harlem South,"3803",1953119.6040300000458955764770507812500,5772.8319823199999518692493438720703,181453.229,0.999
"1","1003002",Manhattan,E,"003002","30.02",MN22,East Village,"3809",841097.7749139999505132436752319335938,4045.1661347300000670657027512788773,78141.267,0.592
"1","1003602",Manhattan,I,"003602","36.02",MN22,East Village,"3809",961070.3823860000120475888252258300781,4076.2496364600001470535062253475189,89287.201,1.000
"2","2019400",Bronx,E,"019400","194",BX52,Schuylerville-Throgs Neck-Edgewater Park,"3703",8717992.2146099992096424102783203125000,15570.6488222999996651196852326393127,809939.410,0.886
"2","2026400",Bronx,I,"026400","264",BX52,Schuylerville-Throgs Neck-Edgewater Park,"3703",4599515.3807800002396106719970703125000,9594.6181511399990995414555072784424,427315.020,0.579
"4","4145900",Queens,I,"145900","1459",QN48,Auburndale,"4104",4007243.3641800000332295894622802734375,8558.3817413600008876528590917587280,372289.338,0.302
"5","5009601",Staten Island,I,"009601","96.01",SI36,Old Town-Dongan Hills-South Beach,"3902",8357605.7641500001773238182067871093750,13035.2642799000004742993041872978210,776453.432,0.667
"1","1003200",Manhattan,I,"003200","32",MN22,East Village,"3809",2335526.7716100001707673072814941406250,6358.4356318600002850871533155441284,216979.597,0.520
"1","1003300",Manhattan,I,"003300","33",MN24,SoHo-TriBeCa-Civic Center-Little Italy,"3810",3677727.5010899999178946018218994140625,8170.7561566300000777118839323520660,341675.132,1.000
"1","1018800",Manhattan,E,"018800","188",MN34,East Harlem North,"3804",1599420.5353099999483674764633178710938,5109.4583859599997595068998634815216,148593.016,1.000
"1","1019400",Manhattan,E,"019400","194",MN34,East Harlem North,"3804",1881162.6229300000704824924468994140625,5505.7015636200003427802585065364838,174768.077,1.000
"1","1021600",Manhattan,E,"021600","216",MN11,Central Harlem South,"3803",1864443.1990499999374151229858398437500,5689.0802971299999626353383064270020,173214.773,0.956
"1","1021800",Manhattan,E,"021800","218",MN11,Central Harlem South,"3803",1958684.8216200000606477260589599609375,5775.5475830599998516845516860485077,181970.237,0.954
"2","2008300",Bronx,E,"008300","83",BX33,Longwood,"3710",2303687.9985500001348555088043212890625,6858.8592779499995231162756681442261,214022.571,0.800
"2","2038301",Bronx,E,"038301","383.01",BX40,Fordham South,"3707",1030540.4638000000268220901489257812500,4142.3700969000001350650563836097717,95741.700,0.386
"2","2023702",Bronx,I,"023702","237.02",BX05,Bedford Park-Fordham North,"3706",515656.6297560000093653798103332519531,3384.1868695600001046841498464345932,47906.747,0.628
"2","2004100",Bronx,E,"004100","41",BX39,Mott Haven-Port Morris,"3710",1977775.6158300000242888927459716796875,6688.4128167299995766370557248592377,183743.893,0.634
"2","2024100",Bronx,E,"024100","241",BX41,Mount Hope,"3707",1447513.6716599999926984310150146484375,5333.7158995700001469231210649013519,134480.330,0.998
"1","1008700",Manhattan,I,"008700","87",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1780834.1788900000974535942077636718750,5579.4807023299999855225905776023865,165446.675,1.000
